File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,4.3,8.4168,31.9619,24.8539,45.3,6.43,280.1,0.619,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,5.0,8.4171,31.9625,24.8544,47.1,6.43,280.2,0.597,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,6.0,8.4157,31.9614,24.8537,48.0,6.43,280.1,0.603,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,7.0,8.4161,31.9617,24.8539,48.0,6.43,280.1,0.578,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,8.0,8.4162,31.9613,24.8535,48.0,6.43,280.1,0.594,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,8.9,8.4206,31.9631,24.8543,48.0,6.43,280.0,0.591,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,10.0,8.4302,31.9683,24.857,48.1,6.43,279.9,0.591,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,11.0,8.4288,31.9668,24.855999999999998,48.0,6.43,279.9,0.5760000000000001,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,12.1,8.4274,31.9661,24.8557,48.0,6.42,279.8,0.58,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,12.9,8.4279,31.9663,24.8557,48.1,6.42,279.7,0.609,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,14.0,8.4316,31.9687,24.8571,48.1,6.42,279.8,0.614,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,15.0,8.4362,31.9712,24.8583,48.1,6.42,279.7,0.6,
