File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,3.3,11.093,31.6562,24.1826,22.5,8.43,367.5,4.531000000000001,212.8
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,3.9,11.0933,31.6566,24.1829,19.4,8.43,367.4,4.599,170.5
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,5.0,11.0923,31.6567,24.1832,22.7,8.46,368.8,4.534,118.8
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,6.0,11.0834,31.6574,24.1853,22.7,8.47,369.0,4.474,85.9
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,7.0,11.0809,31.6581,24.1862,22.5,8.4,366.3,4.626,60.9
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,8.0,11.0603,31.6607,24.1919,22.6,8.37,365.0,4.9,44.8
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,9.0,10.828,31.6895,24.2547,23.2,8.27,360.5,5.13,33.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,10.0,10.5878,31.7194,24.3191,23.1,7.96,346.8,5.332999999999999,23.8
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,11.0,10.4797,31.734,24.3488,23.0,7.53,328.0,5.7829999999999995,17.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,12.0,10.3244,31.7554,24.3917,23.9,7.12,310.4,5.876,12.3
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,13.0,9.9658,31.8034,24.4885,25.3,6.81,296.7,5.419,9.0
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,14.0,9.5014,31.8607,24.6083,29.9,6.57,286.1,5.127999999999999,6.5
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,15.0,9.15,31.8987,24.6933,33.3,6.37,277.6,4.177,4.7
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,16.0,9.0673,31.9019,24.7086,38.5,6.22,271.2,3.503,3.5
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,17.0,9.0286,31.9015,24.7143,40.3,6.11,266.2,3.0589999999999997,2.6
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,18.0,8.9948,31.9042,24.7216,42.4,6.02,262.1,2.504,2.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,19.0,8.913,31.9292,24.7537,44.5,5.94,258.9,2.0269999999999997,1.7
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,20.0,8.8706,31.9438,24.7716,46.3,5.87,255.9,1.8419999999999999,1.4
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,21.0,8.853,31.9486,24.778000000000002,47.0,5.81,252.9,1.508,1.2
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,22.0,8.8432,31.9527,24.7827,47.3,5.74,250.2,1.288,1.0
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,23.0,8.8356,31.9589,24.7888,47.4,5.68,247.5,1.2429999999999999,0.9
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,24.0,8.8135,31.9707,24.8014,47.5,5.61,244.6,1.265,0.8
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,25.0,8.7691,31.9896,24.8229,47.5,5.55,241.6,1.089,0.6
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,26.0,8.7538,32.0023,24.8352,47.7,5.46,237.9,0.9890000000000001,0.6
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,27.0,8.7557,32.0311,24.8574,47.8,5.37,233.9,0.9670000000000001,0.5
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,28.0,8.7366,32.074,24.8939,48.4,5.27,229.6,0.904,0.4
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,29.0,8.7072,32.1026,24.9207,48.9,5.16,224.8,0.794,0.4
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,30.0,8.6396,32.1598,24.9757,49.5,5.05,219.9,0.6920000000000001,0.3
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,31.0,8.6088,32.2122,25.0214,49.9,4.95,215.4,0.688,0.3
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,32.0,8.4987,32.278,25.0895,50.4,4.85,211.4,0.597,0.3
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,33.0,8.4035,32.3302,25.1446,50.7,4.77,207.8,0.529,0.2
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,34.0,8.3557,32.3723,25.1846,51.1,4.7,204.9,0.529,0.2
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,35.0,8.3141,32.385999999999996,25.2015,51.2,4.64,202.1,0.483,0.2
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,36.0,8.2756,32.3977,25.2164,50.9,4.58,199.5,0.43200000000000005,0.2
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,37.0,8.2661,32.4091,25.2267,50.9,4.53,197.5,0.433,0.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,38.0,8.2476,32.4328,25.248,51.0,4.5,195.8,0.429,0.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,39.0,8.2322,32.4608,25.2722,51.1,4.47,194.6,0.409,0.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,40.0,8.2235,32.472,25.2823,51.1,4.44,193.3,0.379,0.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,41.0,8.2201,32.4784,25.2878,51.1,4.41,192.2,0.389,0.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,42.0,8.2135,32.4824,25.2919,51.0,4.37,190.4,0.36,0.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,43.0,8.1892,32.4999,25.3092,51.1,4.32,188.3,0.34600000000000003,0.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,44.0,8.1957,32.5126,25.3182,51.2,4.27,185.7,0.359,0.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,45.0,8.1963,32.5314,25.3329,51.2,4.2,182.8,0.349,0.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,46.0,8.1743,32.5623,25.3603,51.5,4.13,179.7,0.335,0.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,47.0,8.0576,32.6185,25.4215,51.6,4.05,176.5,0.289,0.1
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,48.0,7.994,32.6468,25.4529,51.6,3.98,173.2,0.272,0.0
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,49.0,7.9087,32.6945,25.5027,51.8,3.9,169.6,0.257,0.0
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,50.0,7.8804,32.7161,25.5237,51.8,3.81,166.0,0.255,0.0
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,51.0,7.858,32.7521,25.5552,51.6,3.74,162.8,0.244,0.0
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,52.0,7.7967,32.8067,25.6068,51.7,3.67,159.8,0.23,0.0
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,53.0,7.6811,32.9227,25.7144,51.2,3.61,157.3,0.22899999999999998,0.0
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,54.0,7.6487,32.9528,25.7427,50.8,3.56,154.8,0.225,0.0
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,55.0,7.6261,32.979,25.7664,50.8,3.51,152.6,0.21600000000000003,0.0
2008-26-0002.ctd,UTC,01/06/2008, 15:25,2,48.57483,-125.5015,P1,56.0,7.6063,33.0024,25.7876,50.7,3.46,150.4,0.217,0.0
