File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,3.3,7.5389,29.4409,22.9994,42.9,6.73,293.8,1.35,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,3.7,7.5391,29.4423,23.0005,43.0,6.73,293.9,1.379,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,5.2,7.5399,29.4475,23.0044,43.1,6.73,293.9,1.4040000000000001,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,6.0,7.5393,29.4489,23.0056,43.3,6.74,294.1,1.421,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,7.1,7.5392,29.45,23.0065,43.3,6.74,294.3,1.4080000000000001,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,7.9,7.5395,29.449,23.0057,43.2,6.75,294.4,1.4040000000000001,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,9.2,7.5413,29.4492,23.0056,43.2,6.75,294.4,1.375,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,10.1,7.5417,29.4567,23.0114,43.2,6.75,294.4,1.375,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,11.0,7.5415,29.4553,23.0103,43.2,6.75,294.6,1.396,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,12.4,7.5419,29.4597,23.0137,43.2,6.74,294.3,1.3459999999999999,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,12.8,7.5422,29.4597,23.0137,43.2,6.74,294.3,1.3630000000000002,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,14.0,7.5438,29.4809,23.0301,43.4,6.74,294.0,1.321,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,15.0,7.5449,29.4968,23.0425,43.7,6.74,293.9,1.2830000000000001,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,16.0,7.5456,29.504,23.048000000000002,43.9,6.73,293.8,1.2209999999999999,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,16.9,7.5471,29.5369,23.0737,44.2,6.74,293.9,1.192,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,18.0,7.5485,29.5326,23.0701,44.1,6.65,290.0,0.867,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,19.0,7.5499,29.5848,23.1109,44.1,6.62,288.9,0.8420000000000001,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,20.0,7.5601,29.7344,23.226999999999997,45.7,6.6,288.0,0.8,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,21.0,7.5779,29.9709,23.4103,45.9,6.59,287.4,0.863,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,22.0,7.6092,30.1468,23.5442,48.8,6.58,287.2,0.9420000000000001,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,23.0,7.6188,30.1733,23.5637,50.4,6.56,286.1,0.8959999999999999,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,24.0,7.6332,30.2151,23.5946,50.7,6.52,284.3,0.721,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,25.0,7.6364,30.2225,23.6,50.8,6.51,284.0,0.733,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,26.0,7.635,30.2368,23.6114,50.9,6.5,283.4,0.7879999999999999,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,27.0,7.6372,30.2693,23.6366,50.9,6.48,282.7,0.746,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,28.0,7.6349,30.3286,23.6835,50.8,6.46,281.7,0.713,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,29.0,7.6394,30.3628,23.7097,51.0,6.46,281.6,0.7290000000000001,0.0
2012-01-0002.ctd,UTC,08/02/2012, 11:54,2,48.5755,-125.5015,P1,Mid-ship,30.0,7.6458,30.3835,23.7251,51.1,6.45,281.5,0.725,0.0
