File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,2.1,6.3652,32.7098,25.7236,56.1,7.17,312.0,0.8640000000000001,1.4709999999999999,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2.3,6.3718,32.7068,25.7204,56.2,7.19,313.0,0.534,1.074,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,3.0,6.3718,32.7068,25.7204,56.1,7.19,313.0,0.5479999999999999,1.053,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,3.0,6.3654,32.7098,25.7235,56.3,7.17,311.9,0.833,1.52,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,3.5,6.7381,32.6835,25.6548,57.7,7.11,309.4,0.635,1.127,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,3.9,6.7372,32.6836,25.655,57.7,7.11,309.7,0.644,1.18,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,4.0,6.3721,32.7068,25.7203,56.2,7.18,312.7,0.5379999999999999,1.07,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,4.0,6.3661,32.7098,25.7235,56.3,7.17,312.1,0.8420000000000001,1.565,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,4.3,6.7893,32.6864,25.6504,56.9,7.17,312.0,0.7,1.203,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,4.4,6.4713,32.6974,25.7003,56.0,7.19,313.0,0.725,1.344,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,5.0,6.3725,32.7067,25.7202,56.2,7.18,312.3,0.544,1.092,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,5.0,6.3664,32.7098,25.7234,56.5,7.17,312.0,0.847,1.5659999999999998,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,5.0,6.4712,32.6975,25.7004,56.0,7.19,313.0,0.727,1.3319999999999999,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,5.0,6.7864,32.6866,25.6509,57.0,7.17,312.1,0.629,1.236,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,5.0,6.7342,32.6839,25.6557,57.7,7.12,309.8,0.638,1.194,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,5.1,6.7874,32.6814,25.6467,57.6,7.11,309.4,0.6559999999999999,1.149,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,6.0,6.3738,32.7067,25.72,56.1,7.17,312.2,0.5579999999999999,1.115,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,6.0,6.3664,32.7098,25.7234,56.5,7.17,312.1,0.855,1.538,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,6.0,6.4715,32.6977,25.7005,55.9,7.19,312.9,0.745,1.4169999999999998,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,6.0,6.7785,32.6869,25.6522,56.9,7.17,312.0,0.629,1.245,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,6.0,6.7891,32.6813,25.6464,57.7,7.11,309.3,0.68,1.1440000000000001,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,6.0,6.7287,32.6845,25.6568,57.7,7.11,309.7,0.6409999999999999,1.212,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,6.6,6.7765,32.6864,25.6521,56.9,7.16,311.7,0.633,1.244,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,7.0,6.3735,32.707,25.7203,56.2,7.18,312.3,0.551,1.0759999999999998,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,7.0,6.3664,32.7098,25.7234,56.4,7.17,312.2,0.851,1.4709999999999999,
