File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [%/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,2,8.8076,32.5291,25.2394,51.9,6.79,295.8,2.06,2.5
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,2,9.3226,32.5265,25.156999999999996,51.9,6.82,297.0,2.602,12.5
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,3,8.8076,32.5291,25.2394,52.8,6.81,296.6,2.0340000000000003,2.3
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,3,8.8048,32.5297,25.2403,53.1,6.83,297.2,2.055,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,3,8.8063,32.5293,25.2398,53.1,6.8,296.2,1.983,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,3,8.9541,32.528,25.215999999999998,53.8,6.8,296.3,2.165,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,3,9.1593,32.525999999999996,25.1824,50.9,6.82,296.9,2.289,100.3
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,3,9.3238,32.5267,25.156999999999996,52.0,6.82,296.8,2.602,11.1
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,3,9.3479,32.5266,25.1531,51.8,6.83,297.5,2.45,16.0
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,4,8.8077,32.5292,25.2395,53.0,6.82,296.9,2.065,2.0
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,4,8.8049,32.5298,25.2404,53.0,6.82,296.8,2.043,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,4,8.8064,32.5293,25.2397,53.1,6.79,295.8,1.9869999999999999,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,4,8.8664,32.5298,25.2309,52.3,6.81,296.6,1.6969999999999998,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,4,8.9223,32.5299,25.2224,52.2,6.82,296.9,1.7069999999999999,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,4,9.0343,32.5304,25.2054,52.2,6.81,296.7,1.77,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,4,8.9544,32.5279,25.2158,53.9,6.8,296.3,2.164,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,4,9.1593,32.525999999999996,25.1824,51.1,6.82,297.0,2.299,87.5
2013-17-0092.ctd,UTC,18-06-13, 06:57,92,50.0005,-144.99983,P26,Mid-ship,4,9.1232,32.5273,25.1891,51.5,6.82,297.1,2.66,
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,4,9.3252,32.5267,25.1568,51.9,6.82,296.9,2.541,9.5
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,4,9.3476,32.5267,25.1532,51.8,6.82,297.1,2.487,14.6
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,5,8.8079,32.5292,25.2394,53.2,6.81,296.7,2.024,1.7
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,5,8.8051,32.5299,25.2404,53.1,6.82,297.1,2.05,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,5,8.8065,32.5293,25.2397,53.2,6.81,296.5,2.002,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,5,8.857000000000001,32.5297,25.2323,52.3,6.82,296.8,1.709,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,5,8.9111,32.53,25.2242,52.3,6.82,297.0,1.765,
