File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2014-01-0049.ctd,UTC,20-02-14, 03:14,49,49.99967,-144.99817,P26,Mid-ship,1,8.1296,32.4361,25.2679,11.4,6.63,288.9,0.9390000000000001,
2014-01-0048.ctd,UTC,20-02-14, 02:27,48,50.0,-144.99867,P26,Mid-ship,2,8.1526,32.4379,25.2659,64.4,6.63,288.8,0.978,29.0
2014-01-0049.ctd,UTC,20-02-14, 03:14,49,49.99967,-144.99817,P26,Mid-ship,2,8.1294,32.4361,25.2679,39.3,6.65,289.5,0.966,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3,8.1225,32.4346,25.2677,64.3,6.63,288.9,0.664,
2014-01-0046.ctd,UTC,20-02-14, 00:17,46,50.00067,-144.9985,P26,Mid-ship,3,8.1589,32.4361,25.2636,64.3,6.63,288.9,0.617,150.4
2014-01-0048.ctd,UTC,20-02-14, 02:27,48,50.0,-144.99867,P26,Mid-ship,3,8.1541,32.4377,25.2656,64.5,6.64,289.1,0.993,24.6
2014-01-0049.ctd,UTC,20-02-14, 03:14,49,49.99967,-144.99817,P26,Mid-ship,3,8.1286,32.4364,25.2683,59.9,6.65,289.5,0.966,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,4,8.1229,32.4345,25.2676,64.3,6.64,289.0,0.669,
2014-01-0046.ctd,UTC,20-02-14, 00:17,46,50.00067,-144.9985,P26,Mid-ship,4,8.1599,32.4361,25.2635,64.3,6.64,289.0,0.617,134.9
2014-01-0048.ctd,UTC,20-02-14, 02:27,48,50.0,-144.99867,P26,Mid-ship,4,8.1526,32.4379,25.2659,64.5,6.64,289.2,0.983,18.8
2014-01-0049.ctd,UTC,20-02-14, 03:14,49,49.99967,-144.99817,P26,Mid-ship,4,8.1286,32.4358,25.2678,63.6,6.63,288.9,1.003,
2014-01-0041.ctd,UTC,19-02-14, 15:33,41,49.99967,-144.99867,P26,Mid-ship,5,8.1294,32.4343,25.2665,64.1,6.64,289.1,0.972,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,5,8.1222,32.4348,25.2679,64.3,6.64,289.0,0.635,
2014-01-0048.ctd,UTC,20-02-14, 02:27,48,50.0,-144.99867,P26,Mid-ship,5,8.1502,32.4378,25.2662,64.5,6.64,289.1,0.997,20.4
2014-01-0049.ctd,UTC,20-02-14, 03:14,49,49.99967,-144.99817,P26,Mid-ship,5,8.1296,32.4361,25.2679,63.9,6.64,289.1,1.038,
2014-01-0041.ctd,UTC,19-02-14, 15:33,41,49.99967,-144.99867,P26,Mid-ship,6,8.1305,32.4344,25.2664,64.1,6.64,289.2,0.976,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,6,8.1214,32.4348,25.2681,64.3,6.64,289.3,0.61,
2014-01-0046.ctd,UTC,20-02-14, 00:17,46,50.00067,-144.9985,P26,Mid-ship,6,8.1607,32.4362,25.2634,64.3,6.6,287.3,0.628,102.8
2014-01-0048.ctd,UTC,20-02-14, 02:27,48,50.0,-144.99867,P26,Mid-ship,6,8.1517,32.4375,25.2658,64.5,6.64,289.0,0.99,16.5
2014-01-0049.ctd,UTC,20-02-14, 03:14,49,49.99967,-144.99817,P26,Mid-ship,6,8.1299,32.4362,25.2679,64.1,6.64,289.1,1.045,
2014-01-0041.ctd,UTC,19-02-14, 15:33,41,49.99967,-144.99867,P26,Mid-ship,7,8.131,32.4346,25.2665,64.3,6.65,289.4,0.985,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,7,8.1212,32.4346,25.2679,64.2,6.63,288.9,0.625,
2014-01-0046.ctd,UTC,20-02-14, 00:17,46,50.00067,-144.9985,P26,Mid-ship,7,8.1611,32.4365,25.2636,64.3,6.63,288.8,0.662,89.6
2014-01-0048.ctd,UTC,20-02-14, 02:27,48,50.0,-144.99867,P26,Mid-ship,7,8.1546,32.4374,25.2653,64.5,6.63,288.7,1.0090000000000001,14.7
2014-01-0049.ctd,UTC,20-02-14, 03:14,49,49.99967,-144.99817,P26,Mid-ship,7,8.1333,32.4358,25.2671,64.3,6.63,288.9,1.045,
2014-01-0041.ctd,UTC,19-02-14, 15:33,41,49.99967,-144.99867,P26,Mid-ship,8,8.1307,32.4342,25.2662,64.3,6.63,288.8,0.9490000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,8,8.1211,32.4347,25.268,64.3,6.63,288.9,0.617,
2014-01-0046.ctd,UTC,20-02-14, 00:17,46,50.00067,-144.9985,P26,Mid-ship,8,8.1611,32.4366,25.2637,64.3,6.66,289.9,0.648,81.6
2014-01-0048.ctd,UTC,20-02-14, 02:27,48,50.0,-144.99867,P26,Mid-ship,8,8.158,32.4372,25.2646,64.5,6.63,288.8,1.0270000000000001,14.6
2014-01-0049.ctd,UTC,20-02-14, 03:14,49,49.99967,-144.99817,P26,Mid-ship,8,8.1349,32.4357,25.2668,64.3,6.64,289.2,1.043,
2014-01-0041.ctd,UTC,19-02-14, 15:33,41,49.99967,-144.99867,P26,Mid-ship,9,8.1307,32.4345,25.2665,64.2,6.65,289.7,1.005,
