File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD:Seapoint,PAR:CTD [µE/m^2/sec]
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,2,11.1569,32.0634,24.4881,58.9,6.29,274.1,0.625,376.4
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,3,11.157,32.0639,24.4884,58.8,6.29,274.2,0.638,308.1
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,4,11.1569,32.0642,24.4887,58.9,6.31,275.0,0.693,275.7
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,5,11.1576,32.0641,24.4885,58.9,6.29,274.3,0.69,222.1
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,6,11.1582,32.0637,24.4881,58.9,6.31,275.1,0.7290000000000001,189.6
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,7,11.1581,32.0635,24.4879,58.9,6.3,274.7,0.762,163.3
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,8,11.1571,32.0635,24.4881,58.9,6.31,274.9,0.8440000000000001,147.8
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,9,11.1569,32.0637,24.4883,58.9,6.31,275.0,0.855,127.3
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,10,11.1571,32.0639,24.4884,58.8,6.31,275.0,0.852,96.3
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,11,11.1575,32.0641,24.4885,58.9,6.31,274.8,0.912,91.4
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,12,11.1573,32.0652,24.4894,58.9,6.3,274.7,0.92,81.8
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,13,11.1565,32.0667,24.4907,58.9,6.31,274.8,0.941,71.9
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,14,11.1565,32.0666,24.4906,58.9,6.31,275.0,0.937,64.3
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,15,11.1565,32.0657,24.4899,58.9,6.31,275.0,0.993,57.6
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,16,11.1565,32.0655,24.4898,58.8,6.31,274.8,1.022,51.4
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,17,11.1563,32.0662,24.4903,59.0,6.31,274.8,1.022,45.3
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,18,11.1546,32.0729,24.4958,59.0,6.3,274.5,0.996,40.0
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,19,11.152999999999999,32.0805,24.502,59.0,6.31,275.0,1.0,35.5
2015-01-0010.ctd,UTC,11/02/2015, 19:18,10,48.57617,-125.50133999999998,P1,Mid-ship,20,11.1523,32.0874,24.5075,59.1,6.3,274.4,0.99,31.0
