File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2016-06-0093.ctd,UTC,14-06-16, 21:58,93,50.00033,-144.99983,P26,Mid-ship,1.3,9.2921,32.6779,25.2802,45.2,6.95,302.8,0.544,
2016-06-0093.ctd,UTC,14-06-16, 21:58,93,50.00033,-144.99983,P26,Mid-ship,1.8,9.2956,32.6781,25.2798,47.3,6.94,302.4,0.556,
2016-06-0084.ctd,UTC,14-06-16, 04:40,84,50.0,-144.99916000000002,P26,Mid-ship,1.9,9.3214,32.6789,25.2764,45.2,6.99,304.4,2.983,92.6
2016-06-0083.ctd,UTC,14-06-16, 03:57,83,50.000170000000004,-144.99884,P26,Mid-ship,2.0,9.3284,32.6792,25.2755,45.1,6.99,304.5,2.5789999999999997,209.3
2016-06-0081.ctd,UTC,13-06-16, 22:32,81,50.00033,-144.99884,P26,Mid-ship,2.1,9.3042,32.6786,25.2789,46.7,6.99,304.5,0.9690000000000001,659.8
2016-06-0082.ctd,UTC,13-06-16, 23:43,82,50.000170000000004,-145.0,P26,Mid-ship,2.1,9.3404,32.6789,25.2733,46.4,7.0,304.8,0.591,
2016-06-0082.ctd,UTC,13-06-16, 23:43,82,50.000170000000004,-145.0,P26,Mid-ship,2.9,9.3415,32.679,25.2732,46.7,7.0,305.0,0.687,
2016-06-0085.ctd,UTC,14-06-16, 11:05,85,50.00033,-144.9975,P26,Mid-ship,3.0,9.2646,32.6791,25.2855,46.1,6.96,302.9,3.3139999999999996,0.0
2016-06-0081.ctd,UTC,13-06-16, 22:32,81,50.00033,-144.99884,P26,Mid-ship,3.1,9.3043,32.6787,25.2789,46.2,7.01,305.2,1.034,373.7
2016-06-0083.ctd,UTC,14-06-16, 03:57,83,50.000170000000004,-144.99884,P26,Mid-ship,3.1,9.3285,32.6793,25.2755,45.7,7.0,304.8,2.761,84.4
2016-06-0093.ctd,UTC,14-06-16, 21:58,93,50.00033,-144.99983,P26,Mid-ship,3.1,9.298,32.678000000000004,25.2794,47.9,6.96,302.9,0.5579999999999999,
2016-06-0084.ctd,UTC,14-06-16, 04:40,84,50.0,-144.99916000000002,P26,Mid-ship,3.3,9.3221,32.6793,25.2766,45.0,7.01,305.2,2.9530000000000003,38.4
2016-06-0084.ctd,UTC,14-06-16, 04:40,84,50.0,-144.99916000000002,P26,Mid-ship,3.9,9.3219,32.6792,25.2765,45.4,6.98,303.8,3.1180000000000003,37.3
2016-06-0093.ctd,UTC,14-06-16, 21:58,93,50.00033,-144.99983,P26,Mid-ship,3.9,9.2988,32.6783,25.2795,47.6,6.96,302.8,0.562,
2016-06-0083.ctd,UTC,14-06-16, 03:57,83,50.000170000000004,-144.99884,P26,Mid-ship,4.0,9.3297,32.6793,25.2753,45.8,7.01,305.2,2.968,78.3
2016-06-0085.ctd,UTC,14-06-16, 11:05,85,50.00033,-144.9975,P26,Mid-ship,4.0,9.2649,32.6791,25.2855,46.3,6.98,303.9,3.3280000000000003,0.0
2016-06-0081.ctd,UTC,13-06-16, 22:32,81,50.00033,-144.99884,P26,Mid-ship,4.1,9.2995,32.6787,25.2797,46.3,7.01,305.1,1.104,254.1
