File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,1.2,6.0856,32.7229,25.7689,,6.94,302.0,0.6559999999999999,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,1.2,6.0185,32.7217,25.7762,,6.96,302.7,0.667,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,1.3,6.0385,32.7224,25.7743,,6.95,302.5,0.659,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,1.4,5.9,32.7212,25.7902,,7.01,305.3,0.5770000000000001,,0.2
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,2.0,6.0852,32.723,25.769000000000002,,6.95,302.4,0.653,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,2.0,6.0388,32.7225,25.7743,,6.95,302.7,0.6409999999999999,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,2.0,6.0175,32.7219,25.7765,,6.94,302.2,0.67,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,2.1,5.9003,32.7211,25.7901,,7.01,305.1,0.568,,0.2
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,2.7,5.9003,32.7213,25.7903,,7.01,304.9,0.569,,0.2
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,2.9,6.0845,32.723,25.7691,,6.95,302.5,0.664,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,2.9,6.0392,32.7225,25.7743,,6.96,302.7,0.645,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,3.0,6.0155,32.7221,25.7769,,6.93,301.7,0.71,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,3.2,5.9056,32.7208,25.7892,,6.99,304.3,0.594,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,3.8,6.0148,32.7221,25.7769,,6.93,301.5,0.723,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,3.9,6.0396,32.7224,25.7741,,6.94,302.2,0.643,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,4.0,6.0842,32.7229,25.769000000000002,,6.95,302.6,0.647,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,4.1,5.9004,32.7214,25.7903,,6.98,303.6,0.586,,0.1
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,4.9,5.9071,32.721,25.7892,,6.99,304.4,0.5770000000000001,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,5.0,6.0846,32.7229,25.769000000000002,,6.95,302.5,0.629,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,5.0,6.0406,32.7225,25.7741,,6.95,302.3,0.642,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,5.0,5.9068,32.7215,25.7896,,6.96,302.9,0.575,,0.1
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,5.2,6.0149,32.7225,25.7773,,6.92,301.4,0.6829999999999999,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,6.0,6.0857,32.7228,25.7688,,6.95,302.5,0.644,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,6.0,6.0411,32.7226,25.7741,,6.95,302.5,0.639,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,6.0,5.9066,32.7212,25.7894,,6.97,303.3,0.5770000000000001,,0.1
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,6.1,6.0157,32.7222,25.7769,,6.94,302.2,0.657,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,6.9,6.0409,32.7227,25.7742,,6.94,302.1,0.649,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,7.0,6.0857,32.7228,25.7688,,6.96,302.9,0.63,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,7.0,6.0161,32.7222,25.7769,,6.94,302.2,0.652,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,7.0,5.9068,32.7213,25.7895,,6.98,303.7,0.58,,0.1
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,7.2,5.9096,32.7212,25.7891,,6.97,303.5,0.565,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,7.9,5.9044,32.7213,25.7898,,6.97,303.2,0.5820000000000001,,0.1
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,8.0,6.0857,32.723,25.7689,,6.96,302.9,0.631,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,8.0,6.0161,32.7222,25.7769,,6.96,302.7,0.654,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,8.0,5.9098,32.7212,25.789,,6.96,303.0,0.565,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,8.2,6.0411,32.7225,25.774,,6.97,303.3,0.643,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,9.0,6.0858,32.723,25.7689,,6.96,302.9,0.639,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,9.0,6.0412,32.7226,25.7741,,6.97,303.3,0.635,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,9.0,6.0164,32.7222,25.7768,,6.96,302.8,0.6509999999999999,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,9.0,5.9096,32.7213,25.7891,,6.96,303.0,0.565,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,9.0,5.9039,32.7212,25.7898,,6.97,303.3,0.5660000000000001,,0.0
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,10.0,6.0413,32.7227,25.7742,,6.96,302.8,0.642,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,10.0,6.0156,32.7221,25.7769,,6.95,302.6,0.6559999999999999,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,10.0,5.9095,32.7212,25.7891,,6.97,303.4,0.5820000000000001,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,10.0,5.904,32.7214,25.7899,,6.97,303.2,0.595,,0.0
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,10.1,6.0858,32.7229,25.7688,,6.97,303.5,0.633,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,10.5,-99.0,-99.0,-99.0,,-99.0,-99.0,0.647,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,11.0,6.0414,32.7226,25.7741,,6.95,302.7,0.635,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,11.0,6.0134,32.722,25.776999999999997,,6.95,302.5,0.636,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,11.0,5.9093,32.7213,25.7892,,6.98,303.9,0.586,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,11.0,5.9034,32.7213,25.7899,,6.96,302.8,0.586,,0.0
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,12.0,6.0412,32.7226,25.7741,,6.96,302.8,0.632,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,12.0,6.0134,32.722,25.776999999999997,,6.97,303.2,0.639,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,12.0,5.9079,32.7214,25.7894,,6.99,304.2,0.5820000000000001,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,12.0,5.903,32.7213,25.79,,6.96,302.7,0.562,,0.0
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,12.9,6.0134,32.7222,25.7772,,6.96,302.8,0.634,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,13.0,6.0411,32.7226,25.7741,,6.97,303.2,0.633,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,13.0,5.9081,32.7214,25.7894,,6.99,304.1,0.562,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,13.0,5.903,32.7214,25.79,,6.96,302.9,0.5660000000000001,,0.0
