,ctdpf_ckl_seawater_temperature,practical_salinity,ctdpf_ckl_seawater_conductivity,density,Label
"(-0.001, 100.009]",5.4188673267326735,32.85117789569387,3.2068514851485164,1027.1074380155715,0
"(100.009, 200.018]",5.408735,32.8535666075532,3.2064257999999994,1027.1356666099848,0
"(200.018, 300.026]",5.382941000000001,32.85665251610285,3.2055037000000004,1027.2505031063386,0
"(300.026, 400.035]",5.324055,32.85542676574768,3.201405799999999,1027.3712998946085,0
"(400.035, 500.044]",5.297908000000002,32.856794381369106,3.2003549999999996,1027.4905769940756,0
"(500.044, 600.053]",5.250324999999999,32.85675981424935,3.1973512000000004,1027.6127288369794,0
"(600.053, 700.061]",5.21583,32.85727663468375,3.195523199999999,1027.734040986647,0
"(700.061, 800.07]",5.159691999999999,32.85575172814067,3.191654899999999,1027.856078083737,0
"(800.07, 900.079]",5.100130999999998,32.85523972076915,3.187592099999998,1027.9802714783707,0
"(900.079, 1000.088]",5.040966,32.854392112750695,3.1835417999999986,1028.1048210726076,0
"(1000.088, 1100.096]",4.980675000000001,32.85377398519849,3.1794211999999993,1028.230162540342,0
"(1100.096, 1200.105]",4.909646999999998,32.85262471960084,3.1743472000000015,1028.357513066136,0
"(1200.105, 1300.114]",4.828296,32.850934932643966,3.1683518999999984,1028.4863148230675,0
"(1300.114, 1400.123]",4.7848060000000014,32.8549784180773,3.1661005000000015,1028.615518751349,0
"(1400.123, 1500.132]",4.676404,32.852941302351,3.157775899999999,1028.747891352691,0
"(1500.132, 1600.14]",4.635346000000002,32.857864270597716,3.155811800000001,1028.87778449233,0
"(1600.14, 1700.149]",4.640560999999999,32.87119481793704,3.1585313999999998,1029.0091870600543,0
"(1700.149, 1800.158]",4.590358,32.87842512861398,3.1559918,1029.1429141646454,0
"(1800.158, 1900.167]",4.521481,32.88455560151971,3.1517700000000004,1029.278901864042,0
"(1900.167, 2000.175]",4.453012999999998,32.89405046595643,3.1478831,1029.4184358930875,0
"(2000.175, 2100.184]",4.380008,32.90210104526524,3.143486800000001,1029.5576081016761,0
"(2100.184, 2200.193]",4.370302000000001,32.92015030676207,3.1453451000000006,1029.6965679562286,0
"(2200.193, 2300.202]",4.268127000000002,32.92783267620052,3.138427999999999,1029.8389576364855,0
"(2300.202, 2400.211]",4.1880039999999985,32.93693711545022,3.1335143,1029.979796853695,0
"(2400.211, 2500.219]",4.108931999999999,32.9505051392279,3.1290808000000006,1030.124782236925,0
"(2500.219, 2600.228]",3.962403,32.95936854005254,3.1185088999999993,1030.2743498748991,0
"(2600.228, 2700.237]",3.8581950000000003,32.968476558483786,3.111565999999999,1030.41938323131,0
"(2700.237, 2800.246]",3.7747969999999986,32.98319853721218,3.1068743999999993,1030.5666264683375,0
"(2800.246, 2900.254]",3.6926050000000004,32.99600903758464,3.1021275999999967,1030.7127490041787,0
"(2900.254, 3000.263]",3.610774000000001,33.00872796198679,3.0974073000000004,1030.8591522426304,0
"(3000.263, 3100.272]",3.5382740000000013,33.020975766760515,3.093435200000002,1031.0036912726139,0
"(3100.272, 3200.281]",3.4838690000000003,33.03644544231694,3.091262,1031.147916157185,0
"(3200.281, 3300.289]",3.4190770000000015,33.05285491227157,3.0882888999999993,1031.2944903142732,0
"(3300.289, 3400.298]",3.3366449999999985,33.064859802925255,3.0834483000000006,1031.4396977345189,0
"(3400.298, 3500.307]",3.251445999999999,33.078540843463614,3.0785115999999992,1031.5862418653437,0
"(3500.307, 3600.316]",3.1960290000000002,33.086869698138266,3.0756475000000005,1031.7250137867154,0
"(3600.316, 3700.325]",3.142468999999999,33.098257547035686,3.0731968999999997,1031.8660772302733,0
"(3700.325, 3800.333]",3.088895999999999,33.11099984492538,3.0708582,1032.0083399639066,0
"(3800.333, 3900.342]",3.045918999999999,33.123826395281746,3.0694197999999995,1032.1492386082357,0
"(3900.342, 4000.351]",2.9877829999999994,33.140281027904315,3.0669996,1032.294782795665,0
"(4000.351, 4100.36]",2.938063999999999,33.15677464428393,3.065291700000001,1032.4392895287808,0
"(4100.36, 4200.368]",2.9027850000000006,33.16916445682143,3.0644580000000006,1032.5784961901634,0
"(4200.368, 4300.377]",2.8751969999999996,33.180787636413626,3.0642058000000003,1032.715808045061,0
"(4300.377, 4400.386]",2.846744999999999,33.193360176921985,3.0639537999999997,1032.8535459584753,0
"(4400.386, 4500.395]",2.8218370000000004,33.20393042295292,3.0638341,1032.9893852819719,0
"(4500.395, 4600.404]",2.785960000000001,33.21402508373668,3.0627463000000024,1033.1262709218356,0
"(4600.404, 4700.412]",2.7587120000000005,33.22462230573068,3.062426299999998,1033.2622814155736,0
"(4700.412, 4800.421]",2.732457000000001,33.236570190026114,3.062300000000002,1033.3991707014645,0
