,ctdpf_ckl_seawater_temperature,practical_salinity,ctdpf_ckl_seawater_conductivity,density,Label
"(-0.001, 100.003]",1.998311881188119,34.53193777542864,3.123395247524753,1036.5037094754907,1
"(100.003, 200.007]",1.9845379999999992,34.534860814605075,3.123196199999998,1036.5929496284293,1
"(200.007, 300.01]",1.965823,34.53876976395104,3.1230592000000015,1036.7298680733388,1
"(300.01, 400.013]",1.9518980000000006,34.541654099998034,3.123272900000001,1036.8676368601089,1
"(400.013, 500.017]",1.939687,34.544365567914035,3.123607899999998,1037.0037384396232,1
"(500.017, 600.02]",1.9213920000000007,34.54793987506142,3.123478699999999,1037.1407298141605,1
"(600.02, 700.023]",1.9045569999999996,34.551238871701884,3.1234493000000016,1037.2770043162443,1
"(700.023, 800.026]",1.8882310000000018,34.55448871604403,3.1234493000000003,1037.4121493471407,1
"(800.026, 900.03]",1.8724440000000013,34.55766007473946,3.1234852,1037.5468467114201,1
"(900.03, 1000.033]",1.8549859999999996,34.56097688302003,3.1233835999999973,1037.6815621306894,1
"(1000.033, 1100.036]",1.8423219999999991,34.56342012270743,3.123501299999999,1037.800872467249,1
"(1100.036, 1200.04]",1.8395679999999992,34.56357130423643,3.1234793999999977,1037.8246435547962,1
"(1200.04, 1300.043]",1.8396789999999987,34.56274381495251,3.1235691999999973,1037.8407614284706,1
"(1300.043, 1400.046]",1.8442210000000003,34.561880663917194,3.1235132000000005,1037.7962574218086,1
"(1400.046, 1500.05]",1.8582410000000005,34.559162447657656,3.1234916999999998,1037.676664553109,1
"(1500.05, 1600.053]",1.8694609999999998,34.55704238321223,3.1232671999999986,1037.5570552376064,1
"(1600.053, 1700.056]",1.8792849999999997,34.55493863219909,3.1229316000000016,1037.4387699386975,1
"(1700.056, 1800.06]",1.8909699999999998,34.55264543982811,3.1227505000000004,1037.321210441246,1
"(1800.06, 1900.063]",1.9038819999999992,34.550091209994605,3.1226556999999993,1037.2035583087982,1
"(1900.063, 2000.066]",1.9151179999999997,34.547829043386514,3.122445600000002,1037.087211415639,1
"(2000.066, 2100.069]",1.9275519999999993,34.545432529099365,3.1223345000000013,1036.9714234351115,1
"(2100.069, 2200.073]",1.9385360000000003,34.543220429706096,3.122113100000003,1036.8561434341832,1
"(2200.073, 2300.076]",1.9510819999999995,34.54071561621456,3.121997700000002,1036.7399289544182,1
"(2300.076, 2400.079]",1.9680619999999995,34.53732744268379,3.1221968,1036.622779602038,1
