depth,date,temp,oxygen,Salinity,Chl
0.57,11/3/14 10:00,12.1507,NA,7.3,0.653
1.9,1/20/15 9:40,9.7767,NA,7.7,0.649
1.9,7/6/15 9:58,13.8908,NA,8.3,2.98
1.3,7/20/15 9:25,14.3667,NA,10.4,27.4
0.98,9/8/15 9:18,14.0247,NA,6.8,2.31
0.86,2/1/16 8:55,8.8388,NA,8.5,0.964
1.2,5/2/16 9:49,12.5585,NA,14,19.1
1.3,8/15/16 9:33,14.6609,NA,9.7,12.7
1.3,12/19/16 13:28,10.3524,NA,7.2,0.316
1,2/2/94 13:44,9.1,29.368,7.6,2.1
1,3/8/94 10:54,8.5,25.478,9.8,0.99
1,4/25/94 11:19,10.3,28.86,12,25
1,5/4/94 11:25,10.1,28.847,12,9.9
1,5/9/94 11:14,13,28.123,15,8
1,6/8/94 11:50,13,29.322,11,5.6
1,7/6/94 15:08,16,30.231,12,9.6
1,7/25/94 12:45,14.2,29.697,10,8.7
1,8/29/94 13:51,15.2,29.882,9.6,9.9
1,10/17/94 10:15,12.4,30.577,6.8,3
1,10/18/94 9:48,12.4,30.58,6.5,0.98
1,11/15/94 11:55,10.5,30.33,7.2,1.5
1,12/12/94 13:54,9.7,30.357,NA,0.36
1,1/25/95 15:04,8.2,27.279,8.7,0.79
1,2/22/95 12:20,8.4,22.063,9.5,0.65
1,4/4/95 12:45,9.8,28.185,12,31
1,5/3/95 12:59,10.6,28.677,11,14
1,5/8/95 12:20,12.2,28.588,13,10
1,6/14/95 11:10,12.5,29.047,10,NA
1,7/5/95 13:20,15.1,29.262,12,NA
1,7/25/95 9:45,15.1,29.508,13,14
1,8/1/95 13:25,14.8,29.634,12,13
1,9/25/95 10:02,13.6,NA,7.5,10.4
1,10/9/95 11:55,12.5,NA,5.6,3.2
1,10/10/95 13:00,NA,30.432,6.4,1.9
1,11/1/95 13:12,10.8,30.629,7.7,7
1,12/20/95 12:20,9.5,28.832,8.7,0.3
1,1/16/96 13:53,8.8,27.548,8.2,0.47
1,2/21/96 14:33,7.9,26.758,7.7,0.51
1,3/4/96 14:00,8.1,26.531,9.5,2.1
1,4/17/96 11:55,9,28.672,8.6,0.96
1,5/20/96 13:25,11.1,28.41,9.9,3.7
1,6/24/96 12:54,12.7,28.306,9.2,0.55
1,6/25/96 13:20,14.3,28.31,9.4,0.27
1,7/22/96 12:24,13.8,29.135,9.8,8.5
1,8/22/96 9:43,13.3,29.621,7,1.1
1,9/26/96 15:24,12.9,29.715,7.9,2
1,12/4/96 11:35,8.8,29.209,7.5,0.23
1,2/18/97 11:47,7.8,27.743,9,1.4
1,5/27/97 10:21,NA,26.805,12.6,10.2
1,9/3/97 17:45,15,29.142,10.5,15.9
1,9/24/97 11:35,14.1,28.93,8,5.7
1,10/20/97 9:59,11.8,28.03,7.1,1.1
1,11/18/97 13:00,12,28.826,6.8,0.89
1,12/15/97 10:20,10.2,29.329,6.9,0.35
1,12/18/97 9:53,10.1,29.223,7.2,0.22
1,1/20/98 9:30,8.8,28.48,8.3,0.42
1,2/17/98 9:37,8.7,28.565,6.9,0.45
1,3/16/98 10:30,9.4,28.343,8.9,2.2
1,4/21/98 10:18,12,26.725,14.1,20.4
1,5/20/98 9:35,12.3,26.48,11.4,15.7
1,6/16/98 9:46,12.3,28.822,10,7.3
1,7/27/98 14:21,15.5,29.24,13.8,31.5
1,8/31/98 11:19,15,29.761,8.8,2.9
1,9/28/98 10:51,13.7,30.065,7.2,2.6
1,10/20/98 10:00,12.5,30.216,6.81,1.5
1,11/16/98 14:24,11.6,30.464,6.4,0.27
1,12/14/98 0:00,9.8,28.791,8.3,0.31
1,2/3/99 11:57,8.73,NA,8.7,0.32
1,3/16/99 14:15,8.32,NA,9,1.3
1.3,4/21/99 13:00,8.88,NA,9.2,1.4
1,5/17/99 12:01,9.93,NA,12,19.5
1,6/21/99 13:48,13.1,NA,12,6.4
1,7/26/99 14:06,14.1,NA,11,4.4
1,8/18/99 13:14,13.3,NA,7.1,1.5
1,9/20/99 13:06,13.8,NA,10,26.1
1,10/20/99 9:40,11.7,NA,7.3,6.3
1,11/15/99 12:33,10.5,NA,7.5,0.61
1,12/7/99 8:19,9.86,NA,7,0.36
1,1/18/00 11:51,8.7,NA,7.6,0.3
1,2/14/00 9:35,8.1,NA,8.1,2
1,3/21/00 9:32,8.1,NA,8.4,0.94
1,4/17/00 12:33,9.1,NA,9.4,10
1,5/15/00 9:29,10.9,NA,10.4,18.4
1,6/19/00 12:01,12.7,NA,9.3,15.4
1,7/17/00 9:43,14,NA,10.5,23
1,8/21/00 9:36,12.9,NA,7.45,15.7
1,9/18/00 9:49,12.8,NA,6.17,2.2
1,10/23/00 10:31,11.8,NA,NA,1
1,11/29/00 10:06,10.2695,NA,5.79,0.31
1,12/20/00 10:17,9.2721,NA,6.36,0.36
1,1/17/01 9:07,8.4514,NA,NA,0.51
0.78,2/20/01 13:12,7.9357,NA,10.2,5.8
1,3/21/01 13:27,8.3693,NA,9.05,1.3
1,4/16/01 16:42,NA,NA,NA,4.1
0.64,5/22/01 15:33,12.1964,NA,13.6,30
0.9,6/18/01 14:10,12.6,NA,11.1,25.5
1,7/23/01 12:52,12.7,NA,7.95,6.08
0.7,8/20/01 11:52,13.3,NA,8.03,19.2
0.7,9/24/01 9:12,13.1,NA,6.7,1.62
1.9,10/23/01 10:28,11.9,NA,6.6,1.13
1.4,11/19/01 9:30,10.7,NA,5.84,0.525
1.4,12/17/01 9:46,9.6,NA,6.54,0.183
1.1,1/29/02 11:19,7,NA,9.5,0.845
1.3,2/20/02 9:56,8.5,NA,10.1,0.785
1,4/22/02 9:37,9.3,NA,9.3,4.04
1.2,5/28/02 10:08,11,NA,NA,17.8
1,6/24/02 10:11,13.3,NA,10.7,24.4
1.2,7/22/02 10:03,14.5,NA,10.4,7.52
1.2,8/27/02 9:40,12.9,NA,7,12.7
1.4,9/23/02 9:34,12.6,NA,7.2,10.6
1.2,10/21/02 9:42,11.9,NA,6,0.658
1.3,11/18/02 9:58,10.6,NA,5.9,0.242
1.3,12/17/02 10:34,9.9,NA,6.6,0.275
1.3,1/22/03 9:57,8.9,NA,7.5,0.474
1.9,2/25/03 9:06,8.6,NA,8.5,15.2
1.3,3/25/03 9:49,9,NA,8.8,1.38
1.2,4/28/03 10:04,10.2,NA,11.4,25.1
1.1,5/28/03 9:37,12.8,NA,11.3,14.9
1.1,6/24/03 11:19,13.7,NA,12.9,24
1.4,7/29/03 9:22,14.7,NA,10.8,18.3
1.3,8/26/03 9:34,14.9,NA,10.8,20.5
1.2,9/30/03 9:30,13.2,NA,6.4,1.43
1.2,10/29/03 9:42,12.2,NA,7.2,1.18
1.5,11/19/03 11:10,11.2,NA,7.3,0.834
1.6,12/16/03 9:52,10.1,NA,7,0.291
1.3,1/21/04 9:20,8.7,NA,6.5,0.534
1.4,2/19/04 10:11,8.3,NA,7.3,0.766
1.1,3/22/04 10:12,8.7,NA,8.3,0.758
1.3,4/27/04 14:48,11.4,NA,10.4,8.54
1.3,5/26/04 10:20,12.1,NA,11.9,34.3
1.4,6/29/04 9:43,14.8,NA,10.4,18.8
1.3,7/28/04 10:31,14.4,NA,12.3,25.9
1.2,8/24/04 9:31,14,NA,8.1,4.41
1.2,9/28/04 9:34,13.5,NA,7.2,2.98
1.3,10/27/04 10:17,12.1,NA,6.4,1.25
1.6,11/16/04 9:49,11.5,NA,6.1,0.585
1.4,12/20/04 9:29,9.3,NA,7.7,0.63
1.1,1/24/05 9:54,9.1,NA,7.7,0.427
1.1,2/28/05 10:58,8.4,NA,8.6,3.55
1.4,3/28/05 10:00,8.7,NA,8.3,0.71
1.3,4/25/05 9:23,11.6,NA,14.9,28.7
1.3,5/23/05 9:20,10.5,NA,9.8,11.5
1.2,6/28/05 9:20,12.4,NA,9.6,11.8
1.2,7/20/05 9:55,15.6,NA,14.7,14.2
1.2,8/22/05 9:14,13.5,NA,7.8,7.75
1.1,9/26/05 9:43,13.2,NA,6.8,1.18
1.3,10/24/05 10:02,12.3,NA,6.5,0.681
1.2,11/28/05 11:03,10.2,NA,7.2,0.654
1.2,12/19/05 10:25,9.8,NA,6.9,0.285
1.1,2/7/06 10:00,8.1,NA,8.8,1.1
1.5,3/1/06 12:36,8.5,NA,8.4,0.614
1.3,3/27/06 10:01,8.6,NA,8.9,2.8
1.3,4/24/06 10:52,10.2,NA,9.5,1.94
1.4,5/30/06 9:40,10.9,NA,9.2,1.21
1.1,6/26/06 10:19,13.8,NA,13,29.4
1.2,7/24/06 13:07,15.1,NA,10.7,0.761
1.3,8/22/06 10:04,13.9,NA,8.5,30.4
1.2,9/25/06 10:58,13.2,NA,7,1.02
1.5,10/23/06 12:46,12.3,NA,6.9,1.62
1.3,11/29/06 10:00,7.4,NA,8.9,0.455
1.1,12/18/06 15:17,9.2,NA,NA,0.637
1.1,1/16/07 10:38,7.1,NA,9.3,1.21
1.5,2/22/07 10:16,8.1,NA,8.4,0.881
1.1,3/19/07 9:59,8.7,NA,9.3,1.52
1.3,4/16/07 10:07,9.3,NA,11.5,14.5
1.3,5/21/07 13:47,10.3,NA,9.9,7.88
1.3,6/18/07 13:27,11.4578,NA,10.3,16.4
